directory,x0,x0m,xm,x1m,x1,area1,area2,number of files,filenames
177_09,74.747074573341081,81.767364868431173,88.787655163521279,96.749782202634208,104.71190924174712,58174.875400000012,58174.875399999968,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,76.397847997269864,82.990264022179844,89.582680047089838,96.093520791024787,102.60436153495975,80284.48335000001,80284.483350000024,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,60.126150989074659,72.552723645800569,84.979296302526464,102.05172880189926,119.12416130127205,56731.572349999995,56731.572350000009,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,80.158258509048366,86.067820320998479,91.977382132948591,98.02957686132342,104.08177158969826,88101.053450000065,88101.053449999934,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,66.942288857346483,74.560883449418043,82.179478041489617,90.184987423246156,98.190496805002709,114235.56992499996,114235.56992499995,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,74.658637418319955,86.344338428741494,98.030039439163033,111.42429322085559,124.81854700254816,96427.106675000046,96427.106674999959,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,70.795686785742873,80.024924743204906,89.254162700666924,98.81414130082436,108.37411990098181,76286.251349999977,76286.251350000079,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,75.306181604305991,83.760925148749976,92.215668693193948,100.75524980030224,109.29483090741053,122042.87124999998,122042.87125000014,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,70.358039792967148,80.629841900453712,90.901644007940277,101.03845640850258,111.1752688090649,87990.578499999945,87990.578500000032,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,83.871644453749454,89.549220106035278,95.226795758321103,101.05073557487566,106.8746753914302,130630.32387499997,130630.32387499996,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
207_09,74.072153834762844,81.047262392985914,88.02237095120897,95.156182746906808,102.28999454260466,39740.065900000001,39740.065899999987,4,"P0056_orientationJ_ImageJ.txt, P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
210_09,81.913893835181071,90.509124459701113,99.104355084221154,108.25977834205588,117.41520159989062,36447.416674999993,36447.416675000008,4,"P0061_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
213_09,68.269941618475968,77.330553753064862,86.391165887653756,96.433128797097964,106.47509170654216,48033.271399999976,48033.271400000027,4,"P0064_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
216_09,84.596263105883878,92.175998253372398,99.755733400860933,106.58961588030934,113.42349835975774,115414.18725000019,115414.18725000025,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt"
219_09,77.353304538661718,84.482873644009686,91.612442749357641,98.811822194194463,106.0112016390313,103124.06892499996,103124.06892500007,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
222_09,81.820835722697964,88.577059630333437,95.33328353796891,101.84722350236578,108.36116346676266,110207.11809999996,110207.11810000002,4,"P0078_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
225_09,85.175581602956598,93.85303661580329,102.53049162865,112.29579788821634,122.06110414778269,72268.56017500005,72268.560174999904,4,"P0080_orientationJ_ImageJ.txt, P0083_orientationJ_ImageJ.txt, P0082_orientationJ_ImageJ.txt, P0081_orientationJ_ImageJ.txt"
228_09,58.872480231677663,69.703983782958019,80.535487334238383,91.494383507773421,102.45327968130846,80151.049700000018,80151.049699999989,4,"P0086_orientationJ_ImageJ.txt, P0087_orientationJ_ImageJ.txt, P0084_orientationJ_ImageJ.txt, P0085_orientationJ_ImageJ.txt"
231_09,61.780249247924843,75.327868740774022,88.875488233623216,101.17316601327445,113.47084379292571,68673.371324999986,68673.371325000029,4,"P0091_orientationJ_ImageJ.txt, P0090_orientationJ_ImageJ.txt, P0088_orientationJ_ImageJ.txt, P0089_orientationJ_ImageJ.txt"
234_09,75.922167093540011,90.938236532414663,105.95430597128932,118.80112689889435,131.6479478264994,78427.588125000053,78427.588124999907,4,"P0093_orientationJ_ImageJ.txt, P0094_orientationJ_ImageJ.txt, P0092_orientationJ_ImageJ.txt, P0095_orientationJ_ImageJ.txt"
237_09,64.607221108206858,74.949208004029686,85.291194899852513,94.813263222643883,104.33533154543524,92574.312375000038,92574.312374999965,4,"P0002_orientationJ_ImageJ.txt, P0001_orientationJ_ImageJ.txt, P0003_orientationJ_ImageJ.txt, P0004_orientationJ_ImageJ.txt"
240_09,71.164380308288457,81.668810129859622,92.173239951430787,102.78573827889132,113.39823660635184,99450.359300000026,99450.35930000004,4,"P0005_orientationJ_ImageJ.txt, P0008_orientationJ_ImageJ.txt, P0007_orientationJ_ImageJ.txt, P0006_orientationJ_ImageJ.txt"
243_09,85.565363162859498,91.455795592971754,97.346228023084024,103.65580635231592,109.96538468154782,130288.23422500008,130288.23422499989,4,"P0010_orientationJ_ImageJ.txt, P0009_orientationJ_ImageJ.txt, P0012_orientationJ_ImageJ.txt, P0011_orientationJ_ImageJ.txt"
246_09,85.409775172799769,90.024429537102947,94.639083901406124,99.287497159229417,103.9359104170527,71896.99119999996,71896.991200000019,4,"P0015_orientationJ_ImageJ.txt, P0013_orientationJ_ImageJ.txt, P0016_orientationJ_ImageJ.txt, P0014_orientationJ_ImageJ.txt"
249_09,70.973625086914097,86.24100045308883,101.50837581926356,118.18279890887167,134.85722199847979,81309.484349999999,81309.484350000028,4,"P0018_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
252_09,76.92753931592712,85.55592896093431,94.184318605941499,103.21769119541484,112.25106378488819,120635.81460000001,120635.81459999997,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
255_09,65.234677894761703,78.126309616751712,91.017941338741707,103.65661964241028,116.29529794607886,112547.07722500004,112547.07722499991,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0025_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
258_09,77.915699918078744,86.610128653645958,95.304557389213173,103.84809973980094,112.39164209038871,148401.970375,148401.97037499989,4,"P0029_orientationJ_ImageJ.txt, P0032_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
261_09,64.269321371863796,81.550471604896998,98.8316218379302,115.81580762728251,132.79999341663483,201499.39785000004,201499.39785000001,4,"P0035_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
264_09,92.558410030882968,105.41285587145872,118.26730171203447,132.75828527559642,147.24926883915839,132237.04675000001,132237.04675000001,4,"P0037_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt"
267_09,71.171291221429541,82.57835689672639,93.985422572023239,106.92137361768525,119.85732466334726,86896.80194999995,86896.801950000008,4,"P0041_orientationJ_ImageJ.txt, P0043_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
270_09,87.024772364481308,93.223310784183226,99.421849203885145,105.63962623921897,111.85740327455279,110088.37187499976,110088.37187499988,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt"
273_09,69.05948723817086,76.976148093054576,84.892808947938278,92.743990042697689,100.5951711374571,164211.02417500006,164211.02417499997,4,"P0049_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
276_09,72.670137729805433,81.247004189816906,89.823870649828379,98.344535098820046,106.86519954781171,43541.294900000015,43541.294899999979,4,"P0056_orientationJ_ImageJ.txt, P0054_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
279_09,57.968035094926563,71.779722896396137,85.591410697865712,98.603566305781641,111.61572191369758,98121.160949999976,98121.16095000002,4,"P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
282_09,56.689597193263481,67.729138858459322,78.768680523655163,90.697172038879614,102.62566355410408,93446.168049999847,93446.168049999862,4,"P0064_orientationJ_ImageJ.txt, P0061_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt"
285_09,58.79611722290182,69.259486097109871,79.722854971317929,89.194957605599797,98.66706023988165,179171.90387499967,179171.9038749997,4,"P0067_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
288_09,75.356350956106681,83.968329783491072,92.580308610875448,101.53999577874188,110.49968294660833,103411.93410000001,103411.9341,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
291_09,92.032180946742471,105.46019406708334,118.88820718742421,133.13935361811409,147.39050004880397,72004.659349999958,72004.659350000045,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
294_09,75.365308596531094,87.78395830707349,100.20260801761589,112.49091095700351,124.77921389639111,95536.447100000194,95536.447100000179,4,"P0078_orientationJ_ImageJ.txt, P0080_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt"
297_09,74.825883873282024,81.985797057875516,89.145710242468994,96.155947677285525,103.16618511210207,115623.14639999998,115623.1464000001,4,"P0084_orientationJ_ImageJ.txt, P0083_orientationJ_ImageJ.txt, P0082_orientationJ_ImageJ.txt, P0081_orientationJ_ImageJ.txt"
300_09,90.977140540995606,98.563567856859862,106.14999517272413,114.35147929571538,122.55296341870663,89476.110774999877,89476.110774999805,4,"P0086_orientationJ_ImageJ.txt, P0088_orientationJ_ImageJ.txt, P0087_orientationJ_ImageJ.txt, P0085_orientationJ_ImageJ.txt"
303_09,64.003937175118892,74.167521297963148,84.331105420807404,95.239156184976807,106.14720694914621,138155.24092500008,138155.24092499987,4,"P0091_orientationJ_ImageJ.txt, P0090_orientationJ_ImageJ.txt, P0089_orientationJ_ImageJ.txt, P0092_orientationJ_ImageJ.txt"
306_09,68.020676456367269,76.218728464119721,84.416780471872187,92.539835913559671,100.66289135524717,136796.22247500008,136796.22247499993,4,"P0093_orientationJ_ImageJ.txt, P0094_orientationJ_ImageJ.txt, P0096_orientationJ_ImageJ.txt, P0095_orientationJ_ImageJ.txt"
309_09,77.147643813015279,87.824456810846357,98.501269808677449,108.84047383779892,119.17967786692039,98914.006499999901,98914.006500000047,4,"P0097_orientationJ_ImageJ.txt, P0100_orientationJ_ImageJ.txt, P0098_orientationJ_ImageJ.txt, P0099_orientationJ_ImageJ.txt"
312_09,79.552500093538924,86.004264960632568,92.456029827726212,99.590507980767811,106.72498613380941,89626.460700000011,89626.460700000054,4,"P0103_orientationJ_ImageJ.txt, P0104_orientationJ_ImageJ.txt, P0101_orientationJ_ImageJ.txt, P0102_orientationJ_ImageJ.txt"
315_09,73.322767974742888,80.42113959398614,87.519511213229407,94.210222441059557,100.90093366888972,111702.38674999993,111702.38675000003,4,"P0107_orientationJ_ImageJ.txt, P0105_orientationJ_ImageJ.txt, P0108_orientationJ_ImageJ.txt, P0106_orientationJ_ImageJ.txt"
318_09,71.157452299197629,79.492318605864341,87.827184912531038,96.190207464824226,104.55323001711741,148667.06132499987,148667.06132500008,4,"P0112_orientationJ_ImageJ.txt, P0110_orientationJ_ImageJ.txt, P0111_orientationJ_ImageJ.txt, P0109_orientationJ_ImageJ.txt"
321_09,78.130453419290475,84.773580095021089,91.416706770751716,97.927879102294682,104.43905143383765,79599.987349999952,79599.987350000039,4,"P0116_orientationJ_ImageJ.txt, P0114_orientationJ_ImageJ.txt, P0113_orientationJ_ImageJ.txt, P0115_orientationJ_ImageJ.txt"
324_09,90.045591991209946,101.99045046077664,113.93530893034334,125.88302982896315,137.83075072758297,124433.58482500003,124433.58482499994,4,"P0120_orientationJ_ImageJ.txt, P0118_orientationJ_ImageJ.txt, P0119_orientationJ_ImageJ.txt, P0117_orientationJ_ImageJ.txt"
327_09,71.403117989422938,79.614377459472365,87.825636929521792,95.772252049429483,103.71886716933719,128787.64924999997,128787.64924999993,4,"P0122_orientationJ_ImageJ.txt, P0121_orientationJ_ImageJ.txt, P0123_orientationJ_ImageJ.txt, P0124_orientationJ_ImageJ.txt"
330_09,85.071354912300691,93.028770098843836,100.98618528538697,108.76017900444037,116.5341727234938,139419.12747500022,139419.12747500025,4,"P0128_orientationJ_ImageJ.txt, P0127_orientationJ_ImageJ.txt, P0129_orientationJ_ImageJ.txt, P0126_orientationJ_ImageJ.txt"
333_09,73.31553026039542,79.964955602650875,86.61438094490633,92.9293928617885,99.244404778670685,120870.29127500007,120870.29127499998,4,"P0130_orientationJ_ImageJ.txt, P0133_orientationJ_ImageJ.txt, P0132_orientationJ_ImageJ.txt, P0131_orientationJ_ImageJ.txt"
336_09,76.079852749645482,81.987688549194047,87.895524348742612,94.259494860830557,100.62346537291852,140637.3132249999,140637.31322500005,4,"P0135_orientationJ_ImageJ.txt, P0134_orientationJ_ImageJ.txt, P0137_orientationJ_ImageJ.txt, P0136_orientationJ_ImageJ.txt"
339_09,76.925460436605405,89.520981816168899,102.11650319573239,115.29676515357488,128.47702711141736,83376.248499999929,83376.248499999827,4,"P0139_orientationJ_ImageJ.txt, P0141_orientationJ_ImageJ.txt, P0138_orientationJ_ImageJ.txt, P0140_orientationJ_ImageJ.txt"
342_09,66.660769515765736,77.22114519183657,87.781520867907403,99.748380579047719,111.71524029018804,122941.01852500002,122941.01852499993,4,"P0143_orientationJ_ImageJ.txt, P0142_orientationJ_ImageJ.txt, P0144_orientationJ_ImageJ.txt, P0145_orientationJ_ImageJ.txt"
345_09,79.160812894172508,87.138108723616199,95.115404553059903,103.43694346001291,111.75848236696591,61627.060750000019,61627.06074999999,4,"P0147_orientationJ_ImageJ.txt, P0149_orientationJ_ImageJ.txt, P0148_orientationJ_ImageJ.txt, P0146_orientationJ_ImageJ.txt"
348_09,75.013141144475711,82.838092376006244,90.663043607536778,98.184617692360604,105.70619177718442,65796.754375000019,65796.754374999931,4,"P0152_orientationJ_ImageJ.txt, P0150_orientationJ_ImageJ.txt, P0151_orientationJ_ImageJ.txt, P0153_orientationJ_ImageJ.txt"
351_09,59.170643639140991,68.052331346969595,76.934019054798185,84.955020442640659,92.97602183048312,144161.36075000023,144161.36075000028,4,"P0156_orientationJ_ImageJ.txt, P0154_orientationJ_ImageJ.txt, P0157_orientationJ_ImageJ.txt, P0155_orientationJ_ImageJ.txt"
354_09,77.206073154411726,90.471056544784574,103.73603993515741,118.0354154553675,132.33479097557759,119882.69492499977,119882.69492499976,4,"P0159_orientationJ_ImageJ.txt, P0160_orientationJ_ImageJ.txt, P0158_orientationJ_ImageJ.txt, P0161_orientationJ_ImageJ.txt"
357_09,66.839371084751377,78.160547800531731,89.481724516312084,100.11085128593572,110.73997805555936,58301.39227500002,58301.392274999991,4,"P0164_orientationJ_ImageJ.txt, P0165_orientationJ_ImageJ.txt, P0163_orientationJ_ImageJ.txt, P0162_orientationJ_ImageJ.txt"
360_09,71.084865971536914,79.433321542985766,87.781777114434604,95.890369392036249,103.99896166963789,75930.561275000015,75930.561274999956,4,"P0168_orientationJ_ImageJ.txt, P0170_orientationJ_ImageJ.txt, P0166_orientationJ_ImageJ.txt, P0167_orientationJ_ImageJ.txt"
363_09,78.97815346488845,89.858354850319415,100.73855623575038,112.73716633269117,124.73577642963198,135831.86014999976,135831.8601499997,4,"P0173_orientationJ_ImageJ.txt, P0174_orientationJ_ImageJ.txt, P0171_orientationJ_ImageJ.txt, P0172_orientationJ_ImageJ.txt"
366_09,67.875422303052787,76.694857691701841,85.514293080350896,93.904614232949626,102.29493538554834,62256.878199999963,62256.87820000005,4,"P0178_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0177_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt"
369_09,56.131137036371769,68.819989564585939,81.508842092800109,93.278667999140097,105.04849390548009,155840.26025000011,155840.26024999985,4,"P0180_orientationJ_ImageJ.txt, P0181_orientationJ_ImageJ.txt, P0182_orientationJ_ImageJ.txt, P0179_orientationJ_ImageJ.txt"
372_09,83.247337557461492,91.865651167807926,100.48396477815437,108.91565903386274,117.3473532895711,150654.45042499958,150654.45042499978,4,"P0186_orientationJ_ImageJ.txt, P0184_orientationJ_ImageJ.txt, P0183_orientationJ_ImageJ.txt, P0185_orientationJ_ImageJ.txt"
375_09,79.629496729030919,86.987753941593837,94.346011154156741,101.8300171316445,109.31402310913224,115995.71407500004,115995.71407499998,4,"P0187_orientationJ_ImageJ.txt, P0190_orientationJ_ImageJ.txt, P0188_orientationJ_ImageJ.txt, P0189_orientationJ_ImageJ.txt"
378_09,78.099714230331102,87.962885690524644,97.826057150718171,108.00710507834035,118.1881530059625,138256.36830000003,138256.36829999989,4,"P0195_orientationJ_ImageJ.txt, P0194_orientationJ_ImageJ.txt, P0191_orientationJ_ImageJ.txt, P0193_orientationJ_ImageJ.txt"
381_09,73.324023988720768,82.405136878690399,91.486249768660031,100.30357401509613,109.12089826153222,105040.06842500005,105040.0684249999,4,"P0197_orientationJ_ImageJ.txt, P0199_orientationJ_ImageJ.txt, P0198_orientationJ_ImageJ.txt, P0196_orientationJ_ImageJ.txt"
384_09,62.873823850702799,75.53000168961465,88.186179528526495,100.38173986514624,112.57730020176599,88477.263650000008,88477.26364999995,4,"P0203_orientationJ_ImageJ.txt, P0201_orientationJ_ImageJ.txt, P0200_orientationJ_ImageJ.txt, P0202_orientationJ_ImageJ.txt"
387_09,67.661026715571055,78.191882899733443,88.722739083895831,98.965102974459526,109.20746686502322,182309.66159999996,182309.66160000008,4,"P0204_orientationJ_ImageJ.txt, P0205_orientationJ_ImageJ.txt, P0206_orientationJ_ImageJ.txt, P0207_orientationJ_ImageJ.txt"
390_09,86.949776525136784,95.950214961317954,104.95065339749912,114.66860445548653,124.38655551347395,66827.667299999885,66827.667299999899,4,"P0209_orientationJ_ImageJ.txt, P0210_orientationJ_ImageJ.txt, P0211_orientationJ_ImageJ.txt, P0208_orientationJ_ImageJ.txt"
393_09,74.15666868239154,81.671868353709243,89.187068025026932,96.702471174725588,104.21787432442424,68299.618600000002,68299.618600000016,4,"P0214_orientationJ_ImageJ.txt, P0215_orientationJ_ImageJ.txt, P0216_orientationJ_ImageJ.txt, P0217_orientationJ_ImageJ.txt"
396_09,75.23460889943378,83.296607132500398,91.358605365567016,99.245752496738589,107.13289962791018,108430.16570000001,108430.16569999994,4,"P0221_orientationJ_ImageJ.txt, P0220_orientationJ_ImageJ.txt, P0219_orientationJ_ImageJ.txt, P0218_orientationJ_ImageJ.txt"
399_09,68.513858096775778,81.490164998163095,94.466471899550413,108.9791793922348,123.49188688491918,88804.883624999988,88804.883625000046,4,"P0224_orientationJ_ImageJ.txt, P0223_orientationJ_ImageJ.txt, P0222_orientationJ_ImageJ.txt, P0225_orientationJ_ImageJ.txt"
402_09,66.972715519077823,78.159879814192166,89.347044109306509,100.17378469561362,111.00052528192073,75055.83127499999,75055.831275000033,4,"P0227_orientationJ_ImageJ.txt, P0228_orientationJ_ImageJ.txt, P0226_orientationJ_ImageJ.txt, P0229_orientationJ_ImageJ.txt"
405_09,68.941498354221196,77.370454723586874,85.799411092952568,94.617882935624095,103.43635477829562,94574.195524999959,94574.195525000061,4,"P0233_orientationJ_ImageJ.txt, P0230_orientationJ_ImageJ.txt, P0232_orientationJ_ImageJ.txt, P0231_orientationJ_ImageJ.txt"
408_09,75.996064979095181,82.956691789462113,89.917318599829045,97.358838018813373,104.80035743779771,63934.267524999981,63934.267525000003,4,"P0237_orientationJ_ImageJ.txt, P0235_orientationJ_ImageJ.txt, P0236_orientationJ_ImageJ.txt, P0234_orientationJ_ImageJ.txt"
411_09,79.305683806024845,90.896112953365957,102.48654210070707,113.98673528671014,125.4869284727132,126007.96449999997,126007.96450000003,4,"P0239_orientationJ_ImageJ.txt, P0238_orientationJ_ImageJ.txt, P0241_orientationJ_ImageJ.txt, P0240_orientationJ_ImageJ.txt"
414_09,61.408386311963,73.44204817621106,85.47571004045912,96.870770079193278,108.26583011792745,73474.494725000055,73474.494724999924,4,"P0242_orientationJ_ImageJ.txt, P0243_orientationJ_ImageJ.txt, P0244_orientationJ_ImageJ.txt, P0245_orientationJ_ImageJ.txt"
417_09,69.70567180633374,78.862739102018537,88.019806397703348,97.825041673174653,107.63027694864596,66544.28995000002,66544.289949999962,4,"P0249_orientationJ_ImageJ.txt, P0247_orientationJ_ImageJ.txt, P0248_orientationJ_ImageJ.txt, P0246_orientationJ_ImageJ.txt"
423_09,67.02819267004088,76.568221800618716,86.108250931196565,96.639974757042907,107.17169858288925,57742.248274999998,57742.248275000042,4,"P0252_orientationJ_ImageJ.txt, P0251_orientationJ_ImageJ.txt, P0253_orientationJ_ImageJ.txt, P0250_orientationJ_ImageJ.txt"
